idx,review_id,title_clean,text_clean,rating,sentiment_class,date,year,month,quarter,period,trip_type,reviewer_type,reviewer_name,word_count,like_count,has_images,image_count,image_urls,has_sacred_content,has_ritual,has_actor,has_space,has_spiritual,has_festival,has_rule,language,is_translated,original_language,review_link
0,20876315,Unbelievable,"Pashupatinath is well worth the effort. We had hired a guide who was walking around the entrance who spoke excellent english and was very knowledgeable. Well worth it but check em out before you commit. This temple is where the Hindus come to be ""released"" for lack of better words. The dead are burned here and their ashes tossed in the river. There is also a hospice there where the dying go as it's bad form to die in your home. I'd suggest reading up on the Hindu religion a bit before as it would make more sense. I wish I had. There are monkeys, holy men, shrines, deities, the whole works here.",5,positive,2008-10-14,2008,10,4,early_period,,likely_tourist,McReel,113,11,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r20876315-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
1,28684194,It's not for everybody--even if we're all headed that way,"We got to visit this temple on our first day--and were welcomed by women in red, gathered around a fire, celebrating. It was absolutely fascinating. Much further in, our guide pointed out the river, rather dried up due to lack of rain. Further down...a cremation was going on. Quite a surprise, but still this being a holy place--we saw all sorts of human endeavors--from the celebration of life, to the release into the next world. I don't think it's for everybody, especially the squemish--but hey, it's Nepal. And at the least, it makes for incredible stories.",4,positive,2009-04-24,2009,4,2,early_period,,likely_tourist,JVATravels92,96,2,True,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/28/eb/2f/kathmandu.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/28/eb/30/kathmandu.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/28/eb/31/kathmandu.jpg,True,True,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r28684194-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
2,48109222,Very interesting - just remember to be respectful!,"Very interesting place, this is the Varanasi equal in Nepal - everybody from sadhus to tourist peacefully together. Just remember to be respectful, since there are crematations and funerals going on all the time. Not recommended for young children.",5,positive,2009-10-30,2009,10,4,early_period,,likely_tourist,Chiisaineko,39,0,False,0,,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r48109222-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
3,65962714,"More than I expected, the most shocking place I visited","It was our first day in Nepal, we hired a gide who took us to the pashupatinath temple. The first sight I remember was a body of a dead person carried by his family. I kept walking by a bridge and saw three bodies in fire. It was amazing to see all that people praying and burning their deads. And there was more, the other side of the river, that runs inside the temple, was habitated by Sadus and many, many monkeys. I didn't expect to find so many diferent and socking things in that place. If you are in Nepal, must go there.",5,positive,2010-05-31,2010,5,2,early_period,,likely_tourist,ltangari,104,2,True,3,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/87/c7/b2/the-temple-and-the-river.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/87/c7/b3/the-sadus.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/87/c7/b4/the-burning-cerimony.jpg,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r65962714-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
4,79612722,You feel like you are out of place here - amazing to see it however,"You get the feeling that you should not be here from the moment you arrive, what is worse is when you take out your camera in some other worldly fascination to capture the scene and show everyone at home what you witnessed. The Hindu priests (called Bhattas) can be seen walking around the complex, do not (unless you want to at lease) make eye contact or take their picture without permission, they do not take kindly to this. If you want a picture simply offer them some Rupees and they will be more than happy to pose. Probably my highlight from Kathmandu, a must see in my opinion to all visitors of the city.",4,positive,2010-09-15,2010,9,3,early_period,,likely_tourist,James L,114,3,True,1,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/a5/58/36/pashupatinath-temple.jpg,True,False,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r79612722-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
5,95540167,Special experiences over cremation,"On the date we visited Pashupatinath, we found hundred of people over there... and we just noticed many policemen around. Our guide told us that a high-ranked police official was under cremation. We observed the whole process, which was both shocking and interesting. It was the first time seeing this in a short distance. There are a lot of Hindus priest. They asked for the photo taking but I did not as I did not know if they would ask for $ after photo. Are they real priest or just some way to get tourist money. Who knows? Apart from these, as we are not hindu, we just can't see much. But, the entrance fee is Rs 500. It is pretty high when compared with other temples in Kathmandu.",4,positive,2011-02-04,2011,2,1,early_period,,likely_tourist,Aska_883,129,2,True,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c3/86/4c/pashupatinath.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c3/86/50/pashupatinath.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c3/86/51/pashupatinath.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/c3/86/52/cremation-going-on.jpg,True,True,True,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r95540167-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
6,103992751,"A definite ""must see"" if you're in Nepal!""","The day we arrived as we crossed the river our host pointed out the fact that creamations were taking place. It was definitely not something I had expected to hear or much less be able to observe while in Nepal. But of everything we saw, this was probably the most intriguing. It very difficult to put it into words but it overwhelms your senses. Even emotionally, it's very overwhelming-if you're planning to visit Kathmandu, I would definitely recommend you visit this site-even spring for the few rupees to have a guide explain everything as you go through!",5,positive,2011-04-14,2011,4,2,early_period,,likely_tourist,jimmymassey,97,3,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r103992751-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
7,115724266,Be prepared for burning bodies.,Really interesting. People throw coins and statues in with loved ones. The kids sift through water full of human ashes for items to sell. No one minds. which i thought would be disrespectful. Go down to where they are. Tell will pay per item. Dont pay at end or you will get kids swarming you.,5,positive,2011-07-24,2011,7,3,early_period,,likely_tourist,lyttle6,55,4,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r115724266-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
8,116118258,NOT A TOURIST ATTRACTION...THIS IS THE REAL THING!!!,"since 2008, during three trips to nepal, i've visited pashupatinath on many occasions, the most recent being march 2011, the day before the birthday of 'shiva.' if you enjoy photography...without doubt, this is your place. one could spend hours here, seeing the cycle of life take place right in front of you. hindu belief is that as soon as possible after death, the physlcal body should be burned, so that the spirit may be freed. this ritual goes on around the clock here. families gather to say goodbye to the deceased, while the body is prepared for cremation...part of this may include many family members taking photos of the deceased with cell phone cameras... during this time, a priest from the temple prepares a funeral pyre on the other side of the complex. the body is wrapped in cloth, carried to the pyre, and then around it three times. often, foods are left near the body to accompany the deceased on their journey. family often have to fight-off pesky monkeys, who want their share of the fruit. the eldest son, often dressed in white, the color of mourning, will light the fire...and the family sits peacefully, while the body is consumed. whatever is left, is swept into the river, where young boys then plunge in to recover anything that could be sold for a few rupees. there is nothing gross or gruesome about this...it's just death, another part of life... as it's dealt with by another culture. in fact, it's just another page in your book of education. if you conduct yourself with respect, you may take photos from across the river. unlike in veranasi, india...you're not beseiged for unreasonable sums of money. a telephoto lens of reasonable length will get you as close as you'd want to get. it seems as though most are here to pay respect to the dead, and to pray, rather than to scam tourists... in veranasi...we were asked for 1,000 inr ($25usd), for one photo...better to come to pashupatinath. also in the area, are 'sadhus' or hindu holy men...some of them are real characters, and very worthy of your photographic efforts. they'll expect money...so you should go to pashupatinath with lots of small bills...20 and 50 rupees...for this purpose. see the attached photos. if you visit from year to year...you'll see the same guys... this year i brought same photo prints...they were fascinated. there are guides available near the entrance on the airport road...i've never hired one, as i always move about with nepali friends. either can help you run the gauntlet of semi-agressive vendors near the entrance. the entry fee is modest...whatever it is...it's well worth it.",5,positive,2011-08-01,2011,8,3,early_period,friends,likely_tourist,flyingsteve_10,444,5,True,6,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/ba/a-hindu-sadhu-at-pashupatinath.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/bb/several-sadhus-at-pashupatinat.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/bd/hundu-worshippers-respond.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/bf/a-hindu-sadhu-pashupatinath.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/c0/a-family-gathers-to-say.jpg|https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f5/02/c1/the-family-places-the.jpg,True,True,True,False,False,False,True,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r116118258-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
9,116614922,must visit,this place is a must see for all tourists. You'll probably spend a couple of hours here. Be smart in using your camera... Dont pay more then Rs. 250 for a taxi from Thamel.,4,positive,2011-08-12,2011,8,3,early_period,friends,likely_tourist,rene_travels,34,1,False,0,,False,False,False,False,False,False,False,en,False,en,https://www.tripadvisor.com/ShowUserReviews-g293890-d310712-r116614922-Pashupatinath_Temple-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html
